Normal Atmosphere,Polluted Atmosphere,Time (sec)
142,333,76.4
143,332,76.5
144,333,76.6
143,333,76.7
143,333,76.8
143,333,76.9
143,334,77
143,333,77.1
143,335,77.2
143,335,77.3
143,334,77.4
143,335,77.5
143,335,77.6
143,335,77.7
143,335,77.8
142,335,77.9
143,334,78
143,333,78.1
142,335,78.2
143,336,78.3
143,337,78.4
143,337,78.5
142,336,78.6
143,335,78.7
143,333,78.8
142,335,78.9
142,334,79
143,334,79.1
143,334,79.2
143,336,79.3
143,336,79.4
143,335,79.5
143,334,79.6
143,335,79.7
144,334,79.8
143,335,79.9
142,335,80
143,335,80.1
142,335,80.2
143,336,80.3
142,335,80.4
143,335,80.5
142,335,80.6
142,336,80.7
143,336,80.8
143,335,80.9
143,336,81
143,336,81.1
142,334,81.2
143,336,81.3
142,336,81.4
142,335,81.5
143,338,81.6
143,337,81.7
143,337,81.8
142,337,81.9
143,337,82
142,337,82.1
143,336,82.2
142,335,82.3
142,333,82.4
143,336,82.5
142,334,82.6
143,335,82.7
142,333,82.8
143,332,82.9
143,333,83
143,345,83.1
142,346,83.2
142,347,83.3
143,347,83.4
143,347,83.5
143,347,83.6
143,348,83.7
142,346,83.8
142,337,83.9
143,337,84
143,336,84.1
143,334,84.2
143,341,84.3
142,339,84.4
143,338,84.5
142,337,84.6
142,337,84.7
143,338,84.8
143,337,84.9
143,339,85
143,337,85.1
142,334,85.2
142,336,85.3
143,336,85.4
142,338,85.5
142,337,85.6
143,336,85.7
142,336,85.8
142,337,85.9
143,338,86
142,338,86.1
142,335,86.2
142,337,86.3
143,335,86.4
143,336,86.5
142,335,86.6
143,336,86.7
143,338,86.8
142,338,86.9
143,338,87
143,337,87.1
142,336,87.2
142,334,87.3
143,337,87.4
142,338,87.5
143,339,87.6
142,339,87.7
143,340,87.8
142,341,87.9
143,340,88
142,338,88.1
143,337,88.2
142,339,88.3
142,336,88.4
142,334,88.5
143,336,88.6
143,337,88.7
142,337,88.8
143,338,88.9
142,338,89
142,339,89.1
142,339,89.2
143,340,89.3
143,340,89.4
142,339,89.5
142,338,89.6
142,339,89.7
142,339,89.8
142,339,89.9
143,339,90
143,339,90.1
142,339,90.2
142,339,90.3
143,339,90.4
142,339,90.5
142,339,90.6
143,339,90.7
143,339,90.8
143,339,90.9
143,340,91
143,340,91.1
143,339,91.2
142,339,91.3
142,339,91.4
143,340,91.5
143,340,91.6
142,340,91.7
142,339,91.8
143,340,91.9
142,340,92
142,340,92.1
142,341,92.2
142,340,92.3
142,337,92.4
142,339,92.5
143,340,92.6
143,340,92.7
142,339,92.8
143,338,92.9
142,338,93
142,339,93.1
142,339,93.2
142,338,93.3
142,338,93.4
142,339,93.5
142,339,93.6
143,339,93.7
142,339,93.8
143,339,93.9
143,339,94
142,340,94.1
143,339,94.2
142,340,94.3
142,341,94.4
142,339,94.5
142,339,94.6
142,339,94.7
142,340,94.8
142,339,94.9
142,339,95
142,338,95.1
142,338,95.2
142,337,95.3
142,340,95.4
142,341,95.5
143,339,95.6
142,339,95.7
143,338,95.8
142,340,95.9
143,343,96
143,342,96.1
143,339,96.2
143,340,96.3
143,341,96.4
143,341,96.5
142,341,96.6
142,341,96.7
142,342,96.8
142,342,96.9
142,342,97
143,342,97.1
143,342,97.2
142,342,97.3
142,342,97.4
143,343,97.5
143,342,97.6
142,342,97.7
143,342,97.8
143,342,97.9
143,341,98
142,342,98.1
143,343,98.2
142,342,98.3
142,342,98.4
142,342,98.5
142,340,98.6
142,341,98.7
143,340,98.8
142,340,98.9
142,340,99
142,340,99.1
143,339,99.2
142,339,99.3
142,339,99.4
142,340,99.5
142,341,99.6
143,340,99.7
142,337,99.8
142,336,99.9
142,338,100
142,340,100.1
142,339,100.2
142,339,100.3
142,340,100.4
142,341,100.5
142,341,100.6
142,340,100.7
142,339,100.8
142,336,100.9
142,333,101
142,339,101.1
142,336,101.2
142,336,101.3
143,342,101.4
142,340,101.5
143,336,101.6
142,333,101.7
142,338,101.8
142,336,101.9
142,337,102
142,340,102.1
142,340,102.2
143,336,102.3
142,338,102.4
142,340,102.5
142,339,102.6
143,337,102.7
142,339,102.8
142,338,102.9
142,336,103
142,339,103.1
142,338,103.2
142,344,103.3
142,342,103.4
142,337,103.5
142,337,103.6
142,339,103.7
142,341,103.8
142,340,103.9
142,339,104
143,340,104.1
142,338,104.2
142,339,104.3
142,339,104.4
142,340,104.5
142,340,104.6
142,338,104.7
142,337,104.8
143,337,104.9
142,338,105
142,342,105.1
142,342,105.2
142,343,105.3
142,343,105.4
142,343,105.5
142,336,105.6
142,338,105.7
143,340,105.8
143,339,105.9
143,339,106
142,338,106.1
142,339,106.2
142,341,106.3
142,342,106.4
142,343,106.5
142,343,106.6
142,344,106.7
142,343,106.8
142,343,106.9
142,343,107
142,344,107.1
142,344,107.2
142,343,107.3
142,343,107.4
142,343,107.5
142,343,107.6
142,344,107.7
142,346,107.8
142,343,107.9
142,343,108
143,343,108.1
142,343,108.2
142,343,108.3
142,342,108.4
142,341,108.5
142,338,108.6
142,337,108.7
142,338,108.8
142,338,108.9
142,336,109
142,333,109.1
143,338,109.2
142,335,109.3
142,340,109.4
142,341,109.5
142,341,109.6
142,341,109.7
142,341,109.8
142,341,109.9
142,341,110
142,340,110.1
142,338,110.2
142,338,110.3
142,338,110.4
142,338,110.5
142,338,110.6
142,339,110.7
141,340,110.8
142,340,110.9
142,341,111
142,343,111.1
142,342,111.2
143,342,111.3
142,340,111.4
142,339,111.5
143,338,111.6
142,336,111.7
143,339,111.8
142,337,111.9
142,338,112
142,340,112.1
142,341,112.2
142,341,112.3
142,341,112.4
143,341,112.5
142,341,112.6
142,341,112.7
142,339,112.8
142,341,112.9
142,341,113
142,340,113.1
142,340,113.2
142,340,113.3
142,338,113.4
142,337,113.5
142,335,113.6
142,341,113.7
142,343,113.8
142,340,113.9
142,343,114
142,342,114.1
142,339,114.2
142,341,114.3
142,341,114.4
142,345,114.5
142,342,114.6
142,342,114.7
142,343,114.8
142,343,114.9
142,343,115
142,343,115.1
142,344,115.2
142,343,115.3
142,343,115.4
142,344,115.5
142,344,115.6
142,343,115.7
142,342,115.8
142,343,115.9
142,342,116
142,341,116.1
142,342,116.2
142,343,116.3
142,345,116.4
142,345,116.5
142,344,116.6
142,347,116.7
142,349,116.8
142,349,116.9
142,349,117
142,350,117.1
142,350,117.2
142,350,117.3
142,350,117.4
142,350,117.5
142,350,117.6
142,350,117.7
142,350,117.8
143,349,117.9
142,350,118
142,350,118.1
142,350,118.2
142,350,118.3
142,350,118.4
141,350,118.5
142,350,118.6
143,350,118.7
142,350,118.8
142,350,118.9
142,350,119
142,350,119.1
142,350,119.2
142,349,119.3
142,349,119.4
142,349,119.5
142,349,119.6
142,349,119.7
142,350,119.8
142,349,119.9
142,349,120
142,349,120.1
142,349,120.2
142,348,120.3
142,348,120.4
142,348,120.5
142,348,120.6
142,348,120.7
142,349,120.8
