MQ-2 Normal Atmosphere,MQ-2 Contaminated Atmosphere,MQ-5Normal Atmosphere,MQ-5 Contaminated Atmosphere (Natural gas),MQ-6 Normal Atmosphere ,MQ-6 Contaminated LPG gas detected ,MQ-8 Normal Atmosphere,MQ-8 Contaminated Atmosphere,MQ-9 Normal Atmosphere,MQ-9 Contaminated Flammable gas detected ,MQ-135 Normal Atmosphere,MQ-135 Contaminated Atmosphere,Time (sec)
84,342,123,127,472,647,145,178,97,1016,146,1013,16.2
84,342,123,125,471,648,145,179,96,1016,146,1005,16.3
84,342,124,126,471,648,145,180,97,1016,145,1008,16.4
83,342,124,126,471,649,145,182,97,1015,146,1006,16.5
83,342,124,127,471,648,145,182,97,1015,146,1009,16.6
83,342,124,126,471,648,145,182,96,1014,146,1011,16.7
84,342,123,126,471,649,146,184,97,1015,146,1011,16.8
83,342,124,127,472,649,145,185,97,1014,146,1011,16.9
83,342,124,127,471,649,145,185,97,1014,146,1012,17
83,342,124,126,471,648,145,187,96,990,146,1012,17.1
83,343,124,127,471,649,145,187,97,1017,146,1012,17.2
84,342,124,128,471,649,145,188,96,1017,146,1014,17.3
83,342,123,127,471,649,145,189,97,1017,146,1013,17.4
83,343,124,128,471,649,145,190,97,1017,146,1014,17.5
83,342,123,129,471,649,145,191,98,1017,145,1014,17.6
83,342,124,130,471,649,145,192,97,1015,146,1014,17.7
84,342,124,131,471,649,145,193,97,1017,146,1015,17.8
83,342,123,132,471,649,145,193,97,1017,146,1014,17.9
83,342,124,134,471,649,145,194,97,1017,146,1015,18
84,342,123,136,471,649,145,195,97,1017,146,1015,18.1
83,342,124,138,471,649,145,196,97,1016,146,1015,18.2
83,342,123,141,471,649,145,196,97,1016,146,1015,18.3
83,342,124,144,471,649,145,197,97,1017,146,1015,18.4
84,342,124,146,471,649,145,199,97,1017,145,1015,18.5
84,342,123,150,471,649,145,199,97,1016,146,1015,18.6
84,342,124,154,471,650,145,199,97,1017,146,1015,18.7
84,343,123,158,471,650,145,200,97,1017,146,1015,18.8
84,342,123,162,471,650,145,201,97,556,145,1015,18.9
83,343,124,166,471,650,145,202,97,557,146,1016,19
83,342,124,171,471,650,145,203,97,556,146,1014,19.1
83,341,124,174,471,650,145,204,97,557,146,1015,19.2
84,342,123,180,471,650,145,204,97,555,146,1014,19.3
84,342,124,185,471,650,145,205,97,557,146,1015,19.4
83,341,124,189,471,650,145,206,98,555,146,1015,19.5
83,342,123,194,471,650,146,207,97,557,146,1015,19.6
83,341,123,199,471,650,145,207,97,556,145,1015,19.7
83,342,124,204,471,651,145,207,96,557,146,1015,19.8
83,342,124,208,471,650,145,209,97,556,146,1015,19.9
84,341,124,214,471,651,145,209,97,558,146,1016,20
84,342,124,219,471,650,145,209,97,556,145,1015,20.1
84,342,124,224,471,650,144,210,97,558,146,1015,20.2
83,341,124,229,471,650,145,212,97,556,146,1015,20.3
83,342,124,234,471,651,145,212,97,558,145,1015,20.4
83,341,124,239,471,651,145,212,97,556,145,1015,20.5
84,342,124,244,471,651,145,213,97,558,146,1015,20.6
84,341,124,248,471,651,145,213,97,556,145,1015,20.7
84,341,124,253,471,651,146,214,97,558,146,1015,20.8
84,342,123,257,471,651,145,215,97,556,146,1015,20.9
83,341,124,262,471,651,145,215,97,557,146,1015,21
83,341,124,266,471,651,145,216,97,556,145,1015,21.1
84,342,124,271,471,651,145,216,97,557,146,1015,21.2
84,341,123,274,472,651,145,217,97,557,146,1015,21.3
84,341,124,278,471,651,145,217,97,557,146,1015,21.4
83,341,124,282,471,651,145,218,97,557,146,1015,21.5
83,342,123,287,471,651,145,218,97,557,146,1016,21.6
84,341,123,290,471,651,145,220,97,557,146,1015,21.7
83,341,123,294,471,651,145,219,97,557,146,1016,21.8
84,341,124,298,471,651,145,220,97,557,145,1015,21.9
84,341,123,302,472,651,145,220,97,556,146,1014,22
83,341,124,304,471,651,145,221,97,557,146,1015,22.1
84,341,124,305,471,651,145,221,97,556,145,1014,22.2
83,341,124,308,471,652,144,221,97,557,146,1015,22.3
83,342,124,310,471,652,145,222,97,556,145,1015,22.4
83,341,124,309,471,651,144,222,97,557,146,1015,22.5
83,341,124,314,472,652,145,222,96,555,145,1015,22.6
84,341,124,313,471,652,144,223,97,557,146,1016,22.7
83,341,123,317,471,651,144,223,97,556,145,1016,22.8
84,341,124,319,471,652,145,224,97,557,146,1015,22.9
83,341,124,323,471,652,144,224,97,556,146,1016,23
84,341,123,327,471,652,145,224,97,557,147,1016,23.1
83,341,124,335,471,652,144,226,97,556,146,1016,23.2
83,342,124,339,471,652,144,225,97,557,145,1016,23.3
84,341,124,343,471,652,145,225,98,556,146,1016,23.4
83,340,124,345,471,652,145,226,97,558,146,1016,23.5
84,341,124,347,471,653,145,226,97,556,145,1016,23.6
83,341,124,352,472,653,144,226,97,557,145,1015,23.7
83,341,124,356,471,653,145,228,97,556,145,1015,23.8
83,341,124,358,471,653,145,228,97,558,146,1015,23.9
83,341,124,361,471,653,145,228,97,556,146,1015,24
83,341,124,364,471,653,144,228,96,558,145,1016,24.1
83,341,123,367,471,652,145,228,97,556,146,1015,24.2
84,341,124,369,472,652,145,229,97,557,146,1015,24.3
83,340,124,371,471,652,145,229,97,556,145,1016,24.4
84,341,124,374,471,652,145,230,97,558,146,1015,24.5
83,341,124,376,471,652,144,230,97,556,146,1016,24.6
83,341,124,378,471,653,145,230,97,557,146,1016,24.7
83,341,124,380,471,652,145,231,97,556,145,1016,24.8
83,340,123,383,471,653,145,231,97,556,145,1015,24.9
83,341,124,385,471,653,144,231,97,556,145,1016,25
83,340,123,386,471,652,144,232,97,556,146,1015,25.1
83,340,124,389,471,653,145,233,97,557,145,1015,25.2
83,340,124,390,471,653,145,233,97,556,146,1015,25.3
83,341,124,392,471,653,145,234,97,557,146,1016,25.4
83,341,125,394,471,653,144,235,96,556,146,1016,25.5
84,341,124,395,471,653,145,235,97,556,146,1016,25.6
83,340,124,398,471,653,145,235,97,555,146,1015,25.7
84,341,124,400,471,653,145,236,97,557,146,1016,25.8
83,341,124,401,471,653,145,237,97,555,145,1015,25.9
83,340,124,403,471,653,144,238,98,556,146,1016,26
83,341,124,404,472,653,145,238,96,555,146,1016,26.1
83,340,124,406,471,653,144,238,97,556,146,1016,26.2
84,340,124,407,471,653,144,239,96,556,146,1016,26.3
83,341,124,410,471,653,145,239,97,556,146,1016,26.4
83,340,124,411,471,653,145,239,97,556,146,1015,26.5
84,340,124,412,471,653,144,240,97,556,146,1016,26.6
83,340,124,414,471,653,144,241,96,556,146,1015,26.7
83,340,123,415,471,653,144,241,97,557,146,1016,26.8
84,341,124,416,471,653,145,242,96,556,146,1014,26.9
83,340,124,418,472,654,144,242,97,557,145,1015,27
83,340,124,419,471,653,144,243,97,556,146,1015,27.1
83,341,124,420,471,653,144,243,96,557,146,1015,27.2
83,340,124,422,471,654,144,244,97,556,146,1016,27.3
83,340,124,423,471,653,145,245,97,557,146,1015,27.4
84,340,124,424,471,654,144,245,97,556,145,1016,27.5
83,340,123,425,471,653,145,246,96,557,145,1015,27.6
84,340,123,426,471,653,145,247,97,555,146,1015,27.7
83,340,124,428,471,654,144,247,97,557,146,1015,27.8
84,340,124,429,471,654,144,247,97,556,146,1016,27.9
83,341,124,430,471,653,144,248,97,556,146,1015,28
83,340,124,431,471,654,145,249,97,556,145,1015,28.1
83,340,124,432,471,654,144,249,97,556,146,1015,28.2
83,340,124,433,471,654,145,249,96,556,146,1015,28.3
83,340,124,434,471,654,145,250,97,556,146,1015,28.4
83,340,124,436,471,654,145,251,96,557,145,1016,28.5
84,340,124,437,471,654,144,252,97,556,146,1016,28.6
83,340,124,438,471,654,145,252,97,556,146,1016,28.7
