LPG,,,,,
MQ-2,MQ-5,MQ-6,MQ-8,MQ-9,MQ-135
122,548,565,382,323,458
121,547,563,380,321,455
126,550,566,384,326,460
124,549,565,382,325,458
126,549,569,384,326,459
126,549,571,384,326,460
125,549,575,383,325,459
120,546,576,380,321,455
121,547,580,380,321,455
122,547,587,381,322,455
124,548,593,383,323,458
120,546,596,379,320,454
119,544,601,378,317,452
117,544,605,377,316,451
116,543,611,376,315,450
116,543,615,377,314,451
116,543,620,376,314,449
115,543,624,376,312,449
115,542,627,377,311,448
116,543,631,377,311,449
117,544,635,378,313,451
116,542,637,377,312,449
118,543,640,378,314,450
117,543,643,377,312,449
115,541,644,377,312,448
115,541,646,377,312,447
115,541,648,377,311,447
112,540,649,375,310,445
114,540,651,376,310,445
119,542,655,379,314,449
133,551,664,390,327,461
124,545,662,384,319,453
122,544,663,382,317,452
124,545,666,384,318,453
116,541,664,378,311,447
115,539,665,376,310,445
115,540,665,376,309,446
117,541,668,379,311,447
116,540,668,377,311,446
115,539,668,378,311,445
120,542,670,380,316,449
117,540,670,378,312,447
115,539,670,377,312,445
115,539,671,376,311,445
115,538,672,375,311,444
114,538,674,376,311,444
115,539,675,375,313,444
115,539,677,377,313,445
112,537,677,374,309,442
111,536,676,373,308,442
112,536,677,374,310,442
110,535,676,372,310,441
110,536,676,372,310,441
114,538,677,375,314,444
116,539,677,377,316,445
120,541,678,379,320,448
110,535,674,372,312,441
109,534,672,371,311,439
111,536,672,372,313,441
110,534,671,372,313,440
107,533,668,369,311,437
104,531,665,367,310,434
105,532,664,367,311,435
105,532,663,367,311,435
106,532,662,367,312,436
108,533,661,369,314,438
107,532,659,368,315,437
105,531,657,367,314,436
105,531,657,367,315,436
107,532,656,367,316,436
107,533,656,368,318,438
108,533,656,368,320,438
108,533,654,368,320,438
106,532,653,368,319,437
107,533,651,367,320,437
104,531,649,365,318,435
105,531,647,366,319,435
105,531,646,366,320,435
106,531,645,367,321,437
104,531,643,366,321,435
104,530,641,365,320,435
104,530,639,365,320,434
108,532,640,368,323,438
106,530,637,365,320,435
104,529,634,364,320,434
103,531,633,364,320,433
109,533,633,368,324,438
111,533,633,369,326,440
99,526,625,360,316,430
98,526,622,360,315,430
96,525,619,357,313,428
95,524,617,357,312,428
94,524,614,356,312,426
93,524,612,355,311,426
93,523,610,355,311,426
93,523,607,355,311,426
94,523,605,356,312,427
93,523,601,356,311,426
93,523,598,357,311,426
93,523,594,356,309,426
94,525,591,356,306,427
93,531,587,356,307,426
102,528,587,362,312,433
109,532,587,367,318,438
112,534,586,370,321,441
113,531,584,370,321,441
117,533,586,372,324,445
114,531,582,372,322,443
120,534,584,376,328,450
123,536,583,378,329,452
126,537,583,380,332,456
117,532,577,372,322,448
114,530,574,370,320,447
109,528,571,367,318,445
114,531,570,371,321,450
112,530,567,369,321,449
110,529,564,368,318,449
113,530,562,370,320,450
112,531,558,370,320,451
115,531,556,371,322,452
111,529,551,368,320,450
108,528,546,366,317,448
107,527,542,365,316,448
106,526,539,365,315,447
110,529,538,368,319,451
110,529,536,367,319,450
110,528,534,368,318,451
109,528,532,366,319,450
106,526,528,364,317,449
108,527,528,366,318,450
108,528,527,365,318,450
108,527,526,365,318,451
108,527,527,365,317,451
108,527,528,365,317,450
106,526,530,363,315,449
104,526,534,363,314,448
104,525,539,362,314,448
105,526,545,362,314,448
103,525,551,361,313,447
104,525,557,361,314,449
103,526,565,361,314,448
103,526,572,361,313,448
102,527,578,360,313,448
102,526,585,360,312,449
105,527,592,362,314,450
105,528,597,362,314,451
107,528,602,362,315,452
107,529,607,362,316,452
103,528,611,361,313,450
106,529,617,363,315,452
104,528,619,361,313,450
105,530,622,361,313,450
104,528,625,360,313,450
104,527,630,360,313,450
103,527,631,360,313,449
104,527,633,360,314,449
103,528,635,360,315,449
103,527,637,359,315,448
105,530,642,362,317,450
105,530,644,362,318,450
112,533,648,365,324,455
115,534,651,368,327,457
114,534,652,367,327,456
117,535,654,369,330,458
115,534,653,367,329,456
112,532,652,364,328,453
109,531,651,364,327,451
111,531,652,364,329,452
110,531,651,363,330,451
109,531,651,362,330,451
110,531,651,363,332,452
112,533,651,364,335,452
112,532,650,365,336,453
113,532,650,365,337,453
111,532,648,363,338,451
112,532,647,364,340,451
113,532,647,364,342,452
114,533,647,366,344,453
114,533,646,365,345,453
115,533,645,365,347,452
112,532,643,363,347,450
112,532,642,364,349,450
114,533,642,364,351,451
