Normal Atmosphere,Polluted Atmosphere,Time (sec)
145,1016,75.2
146,1016,75.3
146,1016,75.4
145,1016,75.5
146,1017,75.6
145,1017,75.7
145,1017,75.8
146,1016,75.9
145,1017,76
145,1016,76.1
145,1017,76.2
145,1017,76.3
145,1017,76.4
145,1017,76.5
145,1017,76.6
145,1016,76.7
146,1016,76.8
145,1017,76.9
145,1017,77
145,1017,77.1
145,1017,77.2
145,1017,77.3
145,1017,77.4
145,1016,77.5
146,1017,77.6
146,1017,77.7
146,1016,77.8
145,1016,77.9
145,1016,78
145,1016,78.1
145,1016,78.2
145,1017,78.3
145,1017,78.4
145,1016,78.5
145,1016,78.6
145,1016,78.7
145,1016,78.8
145,1017,78.9
145,1017,79
145,1017,79.1
146,1016,79.2
145,1017,79.3
145,1017,79.4
146,1017,79.5
145,1017,79.6
146,1016,79.7
145,1017,79.8
146,1017,79.9
146,1017,80
145,1016,80.1
146,1016,80.2
146,1016,80.3
146,1016,80.4
145,1017,80.5
145,1016,80.6
145,1016,80.7
145,1017,80.8
145,1016,80.9
146,1017,81
146,1017,81.1
146,1017,81.2
146,1016,81.3
145,1017,81.4
145,1017,81.5
145,1017,81.6
145,1017,81.7
145,1017,81.8
145,1017,81.9
145,1016,82
145,1017,82.1
146,1016,82.2
145,1016,82.3
145,1016,82.4
146,1016,82.5
145,1017,82.6
145,1017,82.7
146,1017,82.8
145,1016,82.9
145,1017,83
145,1016,83.1
146,1016,83.2
146,1016,83.3
145,1017,83.4
145,1016,83.5
145,1017,83.6
145,1016,83.7
145,1016,83.8
145,1016,83.9
146,1017,84
145,1016,84.1
145,1016,84.2
145,1016,84.3
146,1017,84.4
146,1017,84.5
146,1016,84.6
145,1017,84.7
146,1016,84.8
145,1016,84.9
145,1017,85
145,1016,85.1
145,1016,85.2
146,1016,85.3
145,1016,85.4
145,1017,85.5
146,1016,85.6
145,1016,85.7
145,1016,85.8
145,1016,85.9
146,1016,86
145,1016,86.1
145,1017,86.2
145,1016,86.3
145,1017,86.4
145,1016,86.5
145,1016,86.6
146,1016,86.7
146,1016,86.8
146,1016,86.9
145,1017,87
145,1017,87.1
146,1017,87.2
146,1017,87.3
146,1017,87.4
146,1017,87.5
146,1017,87.6
145,1016,87.7
145,1016,87.8
145,1016,87.9
145,1017,88
146,1016,88.1
145,1015,88.2
145,1016,88.3
145,1016,88.4
146,1015,88.5
145,1016,88.6
145,1015,88.7
145,1017,88.8
145,1016,88.9
145,1017,89
146,1017,89.1
145,1016,89.2
146,1017,89.3
145,1017,89.4
145,1016,89.5
145,1016,89.6
145,1017,89.7
146,1017,89.8
145,1017,89.9
145,1017,90
145,1017,90.1
145,1016,90.2
145,1015,90.3
145,1017,90.4
146,1016,90.5
145,1016,90.6
145,1016,90.7
145,1016,90.8
145,1016,90.9
145,1016,91
145,1016,91.1
145,1016,91.2
145,1016,91.3
145,1017,91.4
145,1017,91.5
